name,color
organ_acoustic_002-080-127,#ff9400
organ_acoustic_002-081-127,#ff9000
organ_acoustic_002-082-127,#ff8900
organ_acoustic_002-083-127,#ff8500
organ_acoustic_002-084-127,#ff7e00
organ_acoustic_002-085-127,#ff7a00
organ_acoustic_002-086-127,#ff7300
organ_acoustic_002-087-127,#ff6f00
organ_acoustic_002-088-127,#ff6700
organ_acoustic_002-089-127,#ff6400
organ_acoustic_002-090-127,#ff6000
organ_acoustic_002-091-127,#ff5900
organ_acoustic_002-092-127,#ff5500
organ_acoustic_002-093-127,#ff4d00
organ_acoustic_003-024-127,#ff4a00
organ_acoustic_003-025-127,#ff4200
organ_acoustic_003-026-127,#ff3f00
organ_acoustic_003-027-127,#ff3700
organ_acoustic_003-028-127,#ff3400
organ_acoustic_003-029-127,#ff2c00
organ_acoustic_003-030-127,#ff2800
organ_acoustic_003-031-127,#ff2500
organ_acoustic_003-032-127,#ff1d00
organ_acoustic_003-033-127,#ff1a00
organ_acoustic_003-034-127,#fe1200
organ_acoustic_003-035-127,#fa0f00
organ_acoustic_003-036-127,#f10700
organ_acoustic_003-037-127,#ec0300
organ_acoustic_003-038-127,#e30000
organ_acoustic_003-039-127,#de0000
organ_acoustic_003-040-127,#d50000
organ_acoustic_003-041-127,#d10000
organ_acoustic_003-042-127,#cc0000
organ_acoustic_003-043-127,#c30000
organ_acoustic_003-044-127,#bf0000
organ_acoustic_003-045-127,#b60000
organ_acoustic_003-046-127,#b10000
organ_acoustic_003-047-127,#a80000
organ_acoustic_003-048-127,#a30000
organ_acoustic_003-049-127,#9a0000
organ_acoustic_003-050-127,#960000
organ_acoustic_003-051-127,#8d0000
organ_acoustic_003-052-127,#880000
organ_acoustic_003-053-127,#7f0000
